,Name,Crime_rate
155,"Sebastian County, Arkansas",612.5237549
156,"Emanuel County, Georgia",612.2359732
157,"Camden County, New Jersey",610.3101467
158,"Nye County, Nevada",609.9723385
159,"Greenlee County, Arizona",607.8019671
160,"Alachua County, Florida",605.2451953
161,"Union County, Arkansas",604.5117216
162,"Peoria County, Illinois",603.941007
163,"Madison County, Alabama",603.3578174
164,"Calhoun County, Michigan",602.1686961
165,"Williamsburg County, South Carolina",601.8084495
166,"Roberts County, Texas",601.6847172
167,"Bradley County, Tennessee",600.895452
168,"Anderson County, South Carolina",600.0807801
169,"Denver County, Colorado",599.0808243
170,"Chester County, South Carolina",598.5634477
171,"Lowndes County, Alabama",597.9631879
172,"Willacy County, Texas",597.6004744
173,"Cook County, Illinois",596.6569351
174,"Clark County, Indiana",593.2458517
175,"DeKalb County, Georgia",592.9851123
176,"Potter County, Texas",592.6303417
177,"Arkansas County, Arkansas",591.1487458
178,"Chicot County, Arkansas",591.0895457
179,"Cochise County, Arizona",590.856781
180,"Wyandotte County, Kansas",590.457901
181,"Turner County, Georgia",590.1155643
182,"Lake County, California",588.7879737
183,"Luna County, New Mexico",588.020601
184,"Manatee County, Florida",585.7833537
185,"Hampden County, Massachusetts",583.3274487
186,"Haralson County, Georgia",582.5583436
187,"New Castle County, Delaware",581.7888096
188,"Calhoun County, Alabama",580.7976974
189,"Jackson County, Illinois",580.1317417
190,"St. James Parish, Louisiana",579.2570798
191,"Sullivan County, Tennessee",578.5625339
192,"Greenville County, South Carolina",577.3131534
193,"Concordia Parish, Louisiana",577.2429312
194,"Jefferson County, Kentucky",576.7462264
195,"Kern County, California",575.8432818
196,"Clayton County, Georgia",575.2781773
197,"Plumas County, California",572.6708733
198,"Emporia city, Virginia",572.6556908
199,"Kershaw County, South Carolina",571.0538102
200,"Mecosta County, Michigan",570.6597383
201,"Natchitoches Parish, Louisiana",569.7787317
202,"Eddy County, New Mexico",569.6670332
203,"Union County, South Carolina",567.2493757
204,"West Carroll Parish, Louisiana",566.9428696
205,"Vermilion County, Illinois",565.1757149
206,"Rio Arriba County, New Mexico",563.9848273
207,"Cumberland County, North Carolina",562.7993899
208,"Hardeman County, Tennessee",562.6092907
209,"Independence County, Arkansas",562.2077466
210,"St. Mary Parish, Louisiana",562.1649889
211,"Chambers County, Alabama",562.0279843
212,"Tehama County, California",561.3968314
213,"Brooks County, Georgia",560.7115236
214,"Champaign County, Illinois",560.2815073
215,"Glynn County, Georgia",559.4542867
216,"Petersburg city, Virginia",559.3459955
217,"Norfolk city, Virginia",558.2211677
218,"Henderson County, Illinois",557.9399142
219,"Sierra County, California",557.9258287
220,"East Carroll Parish, Louisiana",557.843007
221,"Claiborne County, Tennessee",557.6679341
222,"Mecklenburg County, North Carolina",556.9251355
223,"Del Norte County, California",556.0937108
224,"Prince George's County, Maryland",555.679764
225,"Lafayette Parish, Louisiana",554.917802
226,"Butler County, Missouri",554.7431702
227,"Sumter County, Alabama",553.8507597
228,"Maury County, Tennessee",552.7632192
229,"Mobile County, Alabama",552.3100664
230,"St. Landry Parish, Louisiana",551.2018597
231,"Cumberland County, New Jersey",551.0639921
232,"Tift County, Georgia",551.0599216
233,"Pinellas County, Florida",550.6712247
234,"Roanoke city, Virginia",550.4493983
235,"Clarendon County, South Carolina",550.1382623
236,"Chaves County, New Mexico",549.9597405
237,"Quitman County, Georgia",549.2184199
238,"Wicomico County, Maryland",549.080241
239,"Sacramento County, California",547.6937429
240,"Andrews County, Texas",547.6516459
241,"Stanislaus County, California",547.107372
242,"Spalding County, Georgia",546.7734102
243,"Victoria County, Texas",543.1643489
244,"St. Francis County, Arkansas",542.9200293
245,"Wirt County, West Virginia",542.2809693
246,"Halifax County, North Carolina",540.6618899
247,"Jeff Davis County, Georgia",539.8560384
248,"Cecil County, Maryland",538.6947691
249,"Brevard County, Florida",537.9223453
250,"Butler County, Alabama",537.8731804
251,"Montgomery County, Tennessee",536.6094754
252,"Beaufort County, South Carolina",536.5518686
253,"Forsyth County, North Carolina",535.9614639
254,"Fresno County, California",534.2980847
255,"Kent County, Delaware",534.1880342
256,"Howard County, Texas",533.9308933
257,"Putnam County, Georgia",533.4331571
258,"Morgan County, Missouri",532.938564
259,"Anson County, North Carolina",531.3252552
260,"Allen County, Ohio",530.8742806
261,"Clinch County, Georgia",529.8013245
262,"Wilkes County, Georgia",529.4705295
263,"Muskegon County, Michigan",529.2150075
264,"Lincoln County, West Virginia",528.7814834
265,"Gadsden County, Florida",528.2071265
266,"Bullock County, Alabama",526.3652599
267,"Dauphin County, Pennsylvania",525.2143487
268,"Hill County, Montana",525.1086432
269,"Bibb County, Georgia",524.1693112
270,"Knox County, Tennessee",522.4662747
271,"Vance County, North Carolina",522.2281735
272,"Bryan County, Oklahoma",522.1046922
273,"Cuyahoga County, Ohio",521.2349405
274,"Taney County, Missouri",520.7652823
275,"Martin County, North Carolina",519.0092409
276,"McMinn County, Tennessee",517.7585449
277,"Dallas County, Arkansas",516.8284382
278,"Delaware County, Pennsylvania",516.0390268
279,"Ward County, Texas",515.8306652
280,"Gibson County, Tennessee",515.5994096
281,"Bristol County, Massachusetts",515.394913
282,"Oconee County, South Carolina",514.3580518
283,"Etowah County, Alabama",513.8024266
284,"Pontotoc County, Oklahoma",513.2659507
285,"Monroe County, Florida",512.1085513
286,"Gonzales County, Texas",512.0126034
287,"Abbeville County, South Carolina",511.8566801
288,"Galax city, Virginia",511.7270789
289,"Dorchester County, Maryland",508.2669933
290,"Lawrence County, Pennsylvania",508.2108515
291,"Ben Hill County, Georgia",508.1358835
292,"Kings County, California",508.081611
293,"Baltimore County, Maryland",508.0101821
294,"Des Moines County, Iowa",506.4229249
295,"Okeechobee County, Florida",505.9750826
296,"Lancaster County, South Carolina",504.6111014
297,"Lee County, Iowa",504.4560283
298,"Calcasieu Parish, Louisiana",504.3626086
299,"Randall County, Texas",503.6608315
300,"St. Charles Parish, Louisiana",503.6395081
301,"Baldwin County, Georgia",501.7485176
302,"Pueblo County, Colorado",501.7002063
303,"Cherokee County, Texas",501.1989465
304,"McNairy County, Tennessee",501.1476664
305,"Lea County, New Mexico",501.0137816
306,"Franklin County, Alabama",497.9068882
307,"Geary County, Kansas",497.5390541
308,"Tallapoosa County, Alabama",497.5365871
309,"DeWitt County, Texas",497.4881725
310,"Bay County, Florida",497.1797905
311,"Scotland County, North Carolina",496.8771686
312,"St. Helena Parish, Louisiana",496.5517241
313,"Washington Parish, Louisiana",495.4867619
314,"Calhoun County, Texas",495.2765294
315,"Johnson County, Tennessee",495.0770429
316,"Valencia County, New Mexico",492.8949714
317,"Gregg County, Texas",492.5868123
318,"Kleberg County, Texas",492.1965048
319,"Sheridan County, Montana",490.7306434
320,"Muscogee County, Georgia",490.5731077
321,"Nantucket County, Massachusetts",490.4317723
322,"Decatur County, Tennessee",488.80885
323,"Osceola County, Florida",488.4356659
324,"York County, South Carolina",488.3795741
325,"Shawnee County, Kansas",488.1703955
326,"Pennington County, South Dakota",486.9469842
327,"Ingham County, Michigan",485.4128135
328,"Cloud County, Kansas",484.2875592
329,"Bradford County, Florida",484.1713222
330,"Douglas County, Nebraska",483.3822237
331,"Colbert County, Alabama",482.3917828
332,"Passaic County, New Jersey",481.7351959
333,"Gray County, Texas",481.7081109
334,"Portsmouth city, Virginia",481.2639676
335,"Monroe County, Alabama",481.201655
336,"Union County, New Mexico",480.5491991
337,"Hardin County, Tennessee",480.1413536
338,"Clarke County, Alabama",480.0253898
339,"Pointe Coupee Parish, Louisiana",480.0213343
340,"Crenshaw County, Alabama",479.0504791
341,"Marion County, Florida",479.010677
342,"Palm Beach County, Florida",478.6575434
343,"Pima County, Arizona",478.147697
344,"Multnomah County, Oregon",477.461544
345,"Georgetown County, South Carolina",476.5056254
346,"Chesterfield County, South Carolina",476.2213997
347,"Crisp County, Georgia",475.6599246
348,"Pottawatomie County, Oklahoma",473.593974
349,"De Baca County, New Mexico",471.9454641
350,"Calhoun County, South Carolina",471.6041182
351,"Radford city, Virginia",471.3687151
352,"Broward County, Florida",470.9480521
353,"Raleigh County, West Virginia",470.6150977
354,"San Miguel County, New Mexico",469.5000175
355,"Muscatine County, Iowa",469.2314875
356,"Dimmit County, Texas",468.0187207
357,"Lincoln County, Tennessee",466.8034371
358,"Okaloosa County, Florida",464.3699274
359,"Reno County, Kansas",464.2467674
360,"Decatur County, Georgia",464.1982529
361,"Hamblen County, Tennessee",462.948283
362,"McCurtain County, Oklahoma",462.7249357
363,"Ramsey County, Minnesota",462.49008
364,"Tulare County, California",462.4094173
365,"Ouachita Parish, Louisiana",462.1687364
366,"Marengo County, Alabama",461.4239643
367,"Hampshire County, West Virginia",460.6525912
368,"Clinton County, Iowa",460.5534903
369,"Barrow County, Georgia",460.4425287
370,"Erie County, New York",459.3060294
371,"Coffee County, Tennessee",459.1712428
372,"Richmond County, North Carolina",459.0022627
373,"Bourbon County, Kansas",457.8507945
374,"Atlantic County, New Jersey",457.4751144
375,"White Pine County, Nevada",457.3928607
376,"Sussex County, Delaware",457.297156
377,"Kanawha County, West Virginia",455.3653117
378,"Meigs County, Tennessee",454.9746759
379,"Richmond County, Georgia",454.9437385
380,"Iron County, Missouri",454.3696829
381,"Newberry County, South Carolina",453.0796088
382,"Morris County, Texas",451.9245753
383,"Florence County, South Carolina",451.8311814
384,"Hunt County, Texas",451.4750482
385,"Roosevelt County, New Mexico",451.0147833
386,"Claiborne Parish, Louisiana",450.4504505
387,"Canadian County, Oklahoma",450.3540195
388,"Schenectady County, New York",450.0009657
389,"Liberty County, Texas",449.8940279
390,"Russell County, Alabama",449.7776286
391,"Inyo County, California",449.4503709
392,"Saluda County, South Carolina",447.9617739
393,"Lawrence County, Missouri",447.8198245
394,"Charlottesville city, Virginia",446.4587702
395,"Hamilton County, Ohio",445.8559141
396,"Los Angeles County, California",444.800814
397,"Mercer County, New Jersey",444.6376217
398,"Rutherford County, Tennessee",444.0822833
399,"Walker County, Alabama",443.9528471
400,"Leavenworth County, Kansas",443.8191469
401,"Scott County, Iowa",443.70103
402,"Benton County, Missouri",443.6932178
403,"Putnam County, Tennessee",443.3866032
404,"Dallas County, Texas",442.965072
405,"Anne Arundel County, Maryland",442.1108318
406,"Guilford County, North Carolina",441.7599337
407,"Iron County, Wisconsin",441.7261298
408,"Hudson County, New Jersey",441.3265847
409,"Jefferson Parish, Louisiana",440.2358045
410,"Grenada County, Mississippi",439.5706089
411,"Catahoula Parish, Louisiana",439.5389725
412,"Franklin County, Ohio",438.0237622
413,"Alamance County, North Carolina",436.5907059
414,"Madison Parish, Louisiana",435.9855789
415,"Gulf County, Florida",435.908775
416,"Monroe County, Tennessee",435.2148459
417,"Randolph County, West Virginia",435.1521333
418,"Monterey County, California",435.1415259
419,"Washington County, Arkansas",434.8227901
420,"Laclede County, Missouri",434.5753778
421,"Solano County, California",434.5697148
422,"Wilbarger County, Texas",434.0872744
423,"Sweetwater County, Wyoming",433.2736477
424,"Hemphill County, Texas",432.9004329
425,"San Bernardino County, California",432.4902041
426,"Forest County, Pennsylvania",432.4465994
427,"Tuscaloosa County, Alabama",432.2257134
428,"Berrien County, Michigan",432.2005514
429,"DeSoto County, Florida",431.6713503
430,"Spartanburg County, South Carolina",431.3174256
431,"Volusia County, Florida",431.3099042
432,"Bexar County, Texas",431.0605685
433,"Worcester County, Massachusetts",430.9694898
434,"Wichita County, Texas",430.1498709
435,"Clay County, Alabama",430.075634
436,"Black Hawk County, Iowa",430.0393826
437,"Webb County, Texas",429.3415113
438,"Lawrence County, Tennessee",428.6734937
439,"Pierce County, Washington",428.3049688
440,"Polk County, Georgia",427.3608042
441,"Kent County, Maryland",426.1933414
442,"Cowley County, Kansas",425.3673627
443,"Barton County, Kansas",425.3153513
444,"Hockley County, Texas",424.9893753
445,"Schoolcraft County, Michigan",424.3967503
446,"Webster County, Iowa",423.8203218
447,"Rusk County, Texas",423.3337063
448,"Jackson County, Florida",423.1225216
449,"Warren County, Illinois",423.1073
450,"Cumberland County, Tennessee",422.8587339
451,"Stone County, Missouri",421.7656644
452,"McLennan County, Texas",421.5652577
453,"Trousdale County, Tennessee",421.5636178
454,"Barnstable County, Massachusetts",421.4149495
455,"Coffee County, Georgia",421.101342
456,"Winkler County, Texas",420.7204838
457,"Wayne County, North Carolina",420.603132
458,"La Salle Parish, Louisiana",419.5709549
459,"White County, Tennessee",419.1434233
460,"Stonewall County, Texas",418.9944134
461,"Tipton County, Tennessee",418.9263794
462,"Brazos County, Texas",418.8734225
463,"Dorchester County, South Carolina",418.1654367
464,"Finney County, Kansas",417.812281
465,"Newport News city, Virginia",416.9871443
466,"Jasper County, Missouri",416.673826
467,"Tarrant County, Texas",416.156389
468,"Cherokee County, Alabama",415.9829027
469,"Cole County, Missouri",415.9115503
470,"Desha County, Arkansas",415.8336665
471,"Hopewell city, Virginia",415.1062582
472,"Lake County, Indiana",414.6861571
473,"Orangeburg County, South Carolina",414.5499329
474,"Huerfano County, Colorado",414.1739531
475,"Pike County, Alabama",413.929632
476,"Polk County, Missouri",413.2498224
477,"Oglethorpe County, Georgia",412.4278251
478,"Zavala County, Texas",411.319513
479,"Dale County, Alabama",410.9534119
480,"Dallam County, Texas",410.9394927
481,"Mendocino County, California",410.5881274
482,"Vernon County, Missouri",410.5207886
483,"Lassen County, California",410.4094767
484,"Maricopa County, Arizona",410.2097764
485,"Hennepin County, Minnesota",410.0842691
486,"Allegheny County, Pennsylvania",409.4916311
487,"Ellis County, Kansas",409.4835002
488,"Ware County, Georgia",408.8605114
489,"Childress County, Texas",408.7385483
490,"Hidalgo County, New Mexico",408.2509669
491,"Bartow County, Georgia",407.8085966
492,"Hardin County, Illinois",406.6012916
493,"Clay County, Florida",406.3157144
494,"Elkhart County, Indiana",405.8575111
495,"Washington County, Tennessee",404.632565
496,"Bell County, Texas",402.9457568
497,"Cedar County, Missouri",402.5012578
498,"Charleston County, South Carolina",402.3572772
499,"Camden County, Georgia",402.1291476
500,"Greene County, Tennessee",401.3652277
501,"Houston County, Alabama",401.2810125
502,"Curry County, New Mexico",401.2016285
503,"Contra Costa County, California",400.6561842
504,"Wilson County, North Carolina",400.406529
505,"Wharton County, Texas",400.3299689
506,"Mariposa County, California",399.8873557
507,"Montgomery County, Ohio",399.5550961
508,"Pitt County, North Carolina",399.3963148
509,"La Paz County, Arizona",398.5435938
510,"Monroe County, Pennsylvania",398.4492785
511,"Fredericksburg city, Virginia",398.1231338
512,"Massac County, Illinois",398.0627612
513,"Logan County, West Virginia",397.3657154
514,"Montgomery County, Alabama",396.6310625
515,"Lake County, Montana",396.319399
516,"Pulaski County, Missouri",396.2938156
517,"Kent County, Michigan",395.6892392
518,"Sequatchie County, Tennessee",395.0684558
519,"Robertson County, Tennessee",394.7583218
520,"Henry County, Missouri",394.3968448
521,"Clarke County, Georgia",394.1780398
522,"Dunklin County, Missouri",394.172553
523,"St. Lucie County, Florida",393.958833
524,"Uvalde County, Texas",393.6715442
525,"Franklin city, Virginia",393.6096319
526,"New Haven County, Connecticut",392.9086256
527,"McMullen County, Texas",392.6701571
528,"Walker County, Texas",392.3449148
529,"Bacon County, Georgia",392.296719
530,"Smith County, Texas",391.9844502
531,"Warren County, Mississippi",391.9698038
532,"New Hanover County, North Carolina",391.5279907
533,"Harvey County, Kansas",391.4682939
534,"El Paso County, Texas",391.4376636
535,"Garland County, Arkansas",388.9969436
536,"Sierra County, New Mexico",388.8696854
537,"Yuba County, California",388.6010363
538,"Henry County, Alabama",387.372803
539,"Lincoln County, Georgia",387.0468327
540,"Clark County, Arkansas",386.9322429
541,"Colquitt County, Georgia",386.8179363
542,"Roosevelt County, Montana",386.5168539
543,"Santa Cruz County, California",386.3870031
544,"Bienville Parish, Louisiana",386.2384665
545,"Macon County, Illinois",386.17105
546,"Jennings County, Indiana",385.9636698
547,"Chatham County, Georgia",385.7287544
548,"Shannon County, Missouri",385.6815717
549,"Jackson County, Alabama",385.2618459
550,"Caddo County, Oklahoma",385.2132189
551,"Adams County, Iowa",385.2080123
552,"Liberty County, Georgia",385.1251267
553,"Panola County, Mississippi",383.6986222
554,"Bedford County, Tennessee",383.4339121
555,"Vermilion Parish, Louisiana",383.1029653
556,"Buchanan County, Missouri",382.6800995
557,"Terrebonne Parish, Louisiana",382.2650312
558,"Ford County, Kansas",381.9753583
559,"Angelina County, Texas",381.9718439
560,"Berkeley County, South Carolina",381.9193898
561,"Irwin County, Georgia",381.8818288
562,"Niagara County, New York",381.7987482
563,"DeKalb County, Alabama",381.6202667
564,"Stephens County, Georgia",381.5753611
565,"Livingston Parish, Louisiana",381.1925134
566,"Navarro County, Texas",380.9484158
567,"Giles County, Tennessee",379.1831907
568,"El Paso County, Colorado",379.058506
569,"Butler County, Ohio",378.9674417
570,"Jasper County, Texas",378.6922494
571,"Pickens County, South Carolina",378.0387052
572,"Warren County, Tennessee",377.8306018
573,"Elbert County, Georgia",377.5702842
574,"Summit County, Ohio",377.428833
575,"Santa Barbara County, California",377.0969275
576,"Terrell County, Georgia",376.8565728
577,"San Benito County, California",376.7361111
578,"Scott County, Kentucky",376.3989829
579,"Charles County, Maryland",376.1513502
580,"Allendale County, South Carolina",376.0544771
581,"Grimes County, Texas",376.0378272
582,"Kalamazoo County, Michigan",375.8885967
583,"Crawford County, Georgia",375.8797185
584,"Washoe County, Nevada",375.8089692
585,"Assumption Parish, Louisiana",375.2102471
586,"Onondaga County, New York",374.9036587
587,"Rock Island County, Illinois",374.8523
588,"Gaston County, North Carolina",374.8448095
589,"Anderson County, Texas",374.5382996
590,"Essex County, Massachusetts",374.1394007
591,"Atkinson County, Georgia",373.9445115
592,"Henderson County, Texas",373.6892278
593,"Wyoming County, West Virginia",373.6044137
594,"Hart County, Georgia",373.3396212
595,"Campbell County, Tennessee",372.7819474
596,"Winston County, Alabama",372.7325437
597,"Douglas County, Kansas",372.6316894
598,"Mason County, Illinois",371.9820326
599,"Kent County, Texas",371.7472119
600,"Sunflower County, Mississippi",371.4683716
601,"Cass County, Minnesota",371.2134477
602,"Columbus County, North Carolina",370.3315515
603,"Fayette County, Kentucky",369.9404723
604,"Seminole County, Georgia",368.921185
605,"San Diego County, California",368.6724057
606,"Williams County, North Dakota",368.305457
607,"Brown County, Texas",368.2216747
608,"Kay County, Oklahoma",368.1546249
609,"Taylor County, Texas",367.5894928
610,"Musselshell County, Montana",367.249946
611,"Spokane County, Washington",366.5013204
612,"Mercer County, West Virginia",366.2235416
613,"Rhea County, Tennessee",366.0074432
614,"Marshall County, Iowa",365.9072059
615,"Chesapeake city, Virginia",365.1803566
616,"Morgan County, Tennessee",365.0467716
617,"Plymouth County, Massachusetts",365.0020422
618,"Boone County, Missouri",364.8117677
619,"Lancaster County, Nebraska",364.6022704
620,"Allegany County, Maryland",364.5217013
621,"Caldwell County, Texas",364.4983687
622,"Monroe County, Arkansas",364.4884145
623,"Pratt County, Kansas",364.4462442
624,"Mahoning County, Ohio",364.3065135
625,"Scurry County, Texas",364.1197549
626,"Glacier County, Montana",363.9275056
627,"Dixie County, Florida",363.8644918
628,"Oregon County, Missouri",363.7686431
629,"Reynolds County, Missouri",363.6914684
630,"Jackson County, Arkansas",363.3267102
631,"Newton County, Georgia",363.1181305
632,"Lamar County, Texas",362.1575689
633,"Cape Girardeau County, Missouri",362.131402
634,"Sonoma County, California",362.0019191
635,"Drew County, Arkansas",361.9909502
636,"Bladen County, North Carolina",361.6221336
637,"Walton County, Florida",361.1617369
638,"Worcester County, Maryland",360.3254553
639,"Poinsett County, Arkansas",360.3230483
640,"Lincoln County, Oregon",360.3020496
641,"Yakima County, Washington",359.4501384
642,"Washington County, Iowa",358.8462412
643,"Atchison County, Kansas",358.2303421
644,"Robertson County, Texas",357.8794128
645,"Rockdale County, Georgia",357.8043926
646,"Navajo County, Arizona",357.8017555
647,"Fannin County, Georgia",357.7441077
648,"Henry County, Virginia",357.2989718
649,"Franklin County, Illinois",357.1246365
650,"Gilpin County, Colorado",357.079093
651,"Floyd County, Georgia",356.9154987
652,"Monroe County, New York",356.854134
653,"Amador County, California",355.9790794
654,"Ouachita County, Arkansas",355.9715223
655,"Boone County, Arkansas",355.653011
656,"Orange County, Texas",355.6059163
657,"Santa Fe County, New Mexico",355.4397889
658,"Pasquotank County, North Carolina",355.1687051
659,"Chilton County, Alabama",354.9407294
660,"Suwannee County, Florida",354.415329
661,"Hillsborough County, Florida",353.8307404
662,"Obion County, Tennessee",353.3455398
663,"St. Martin Parish, Louisiana",353.2567629
664,"Floyd County, Texas",353.1300161
665,"Williamson County, Illinois",352.6388142
666,"Juneau City and Borough, Alaska",352.1126761
667,"Beaufort County, North Carolina",351.8456093
668,"Caldwell County, Missouri",351.7643179
669,"Caroline County, Maryland",351.7572569
670,"Limestone County, Texas",351.5390551
671,"Elko County, Nevada",351.2522908
672,"Mitchell County, Texas",350.9891512
673,"Tillman County, Oklahoma",350.1491376
674,"Granville County, North Carolina",350.0643501
675,"Lexington County, South Carolina",349.9517812
676,"Providence County, Rhode Island",348.8705059
677,"Harrison County, Texas",348.3539156
678,"Polk County, Florida",348.309575
679,"Dickson County, Tennessee",348.1478534
680,"Swisher County, Texas",347.8036841
681,"Grant County, New Mexico",347.7905074
682,"Cross County, Arkansas",347.6179622
683,"Yuma County, Arizona",346.4197494
684,"Bristol city, Virginia",346.0008073
685,"Napa County, California",345.6237618
